agno;mes;dia;pmen;tmax;tmin
2011;10;18;0;23.1;7.4
2011;11;18;0;27.5;9.4
2011;12;18;0;28.9;11.6
2012;1;18;0;28.6;11.2
2012;2;18;0;30.1;12.5
2012;3;18;0;29.9;12.2
2012;4;18;52;25.3;9.9
2012;5;18;24.5;24.2;8.7
2012;6;18;6.5;21.3;8
2012;7;18;0;21.5;6.1
2012;8;18;31.5;19.7;6.6
2012;9;18;0;23.5;8.9
2012;10;18;2.5;23.5;7
2012;11;18;0;28.1;9.9
2012;12;18;0;29.2;11
2013;1;18;0;30;12.3
2013;2;18;0;29.9;11.9
2013;3;18;0;28.9;12
2013;4;18;0;26.8;9.6
2013;5;18;122.6;21.3;6.7
2013;6;18;30;23.4;8.2
2013;7;18;22.2;19.9;6.7
2013;8;18;7.2;20.6;6.5
2013;9;18;0;20.8;6.5
2013;10;18;0;24.1;9
2013;11;18;5.7;26.7;9.3
2013;12;18;0;29.1;11.7
2014;1;18;4.6;29.3;12.6
2014;2;18;0;28.9;12.3
2014;3;18;0;27.9;11.1
2014;4;18;0;26.5;10.3
2014;5;18;0;24;8.2
2014;6;18;82.3;18.1;6.6
2014;7;18;1.4;20.2;7.8
2014;8;18;9.9;22.6;7.7
2014;9;18;14;19.2;5.9
2014;10;18;0;25.4;9
2014;11;18;0;25.6;8.8
2014;12;18;0;29;10.9
2015;1;18;0;29.5;12.2
2015;2;18;0;28.7;11.5
2015;3;18;46.1;27.7;12
2015;4;18;0;28.1;11.8
2015;5;18;0;24.3;8.5
2015;6;18;0;24.4;7.8
2015;7;18;55.5;19.3;7.2
2015;8;18;279.6;20.9;7.4
2015;9;18;12.4;19.3;7.4
2015;10;18;86.9;20.1;7.4
2015;11;18;0;24.1;8.3
2015;12;18;0;28;11.3
